address,website,email,headMasterName,respName,estdYear,boardSec,boardHighSec,boardSecName,boardHighSecName,recogYearPri,recogYearUpr,recogYearSec,recogYearHsec,cwsnSchYn,cwsnSchYnDesc,shiftSchYn,shiftSchYnDesc,resiSchYn,resiSchDesc,resiSchTypeName,resiSchTypeId,schPhone,mediumOfInstrName1,mediumOfInstrName2,mediumOfInstrName3,mediumOfInstrName4,mediumOfInstrId1,mediumOfInstrId2,mediumOfInstrId3,mediumOfInstrId4,minorityYn,minorityYnDesc,anganwadiYn,anganwadiYnDesc,anganwadiStuB,anganwadiStuG,anganwadiTchTrained,cceYn,cceYnDesc,instructionalDays,noInspect,noVisitCrc,noVisitBrc,noVisitDis,smcYn,smcYnDesc,smdcYn,smdcYnDesc,approachRoadYnDesc,smdcSmcSameYnDesc,txtbkPriYnDesc,txtbkUprYnDesc,txtbkSecYnDesc,txtbkHsecYnDesc,spltrgYnDesc,suppMatRecdYnDesc,approachRoadYn,ppSecYN,ppSecDesc,schoolId,yearId,yearDesc,stateId,districtId,districtName,blockId,blockName,schoolName
KISHAN NATIONAL INTRGRATION SCHOOL SUNDERBARI ,,,MD OBAID ALAM,MD OBAID ALAM,2012,0,2,NA,2-State Board,,,,2012,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,0,NA,0,0,9,1,1-Yes,7,0,0,0,0,9,NA,1,1-Yes,1-Yes,,,,,,,,1,9,NA,2495411,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,KISAN NATIONAL INTEGRATION SS SCHOOL SUNDERBARI KOCHADHAMAN
AT-LODHABARI PO-TAIYABPUR PS-POTHIA DIST-KISHANGANJ,,,ASHUTOSH KR SAXENA,ASHUTOSH KR SAXENA,2007,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,6,3,2,1,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2412444,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S  LODHA BARI   I
AT-PARLABARI PO-RAIPUR DIST-KISHANGANJ,,umsparlabari@gmail.com,Manish raj,Manish raj,1966,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2410979,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S PARLA BARI
AT-TEGHARIA POGANGHI HAT KOCHADHAMAN,,,JAMIL AKHTER ,JAMIL AKHTER,1952,0,0,NA,NA,1952,2006,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,4,0,3,1,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2454636,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS TEGHARIA
Vill- Dhanpura Deramari,,,Md Zikre Alam,Md Zikre Alam,1995,0,0,NA,NA,1995,2022,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,132,0,0,0,0,9,NA,9,NA,2-No,,,,,,,,2,1,1-Yes,2499194,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PARADISE PUBLIC SCHOOL
deshiya toli bahadurganj ,,,HASAN AHMAD,HASAN AHMAD,2014,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,NA,NA,NA,19,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2403415,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,DESHIYA TOLI INTERNATIONAL SCHOOL
ISLAM TEGHARIAYA PO-GANGHI HAT ,,,Shamshad Alam,Shamshad Alam,1957,0,0,NA,NA,1957,1962,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,154,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2432867,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARSA MUFIDUL ISLAM TEGHARIA
AT-LOHAGARA PO-PANASI HAT PS-PAHARKATTA DIST-KISHANGANJ,,,ANIL KUMAR THAKUR,ANIL KUMAR THAKUR,1980,0,0,NA,NA,1980,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2451231,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS   LOHA GARA
AT-PASCHIM NAURANGA KOCHADHAMAN,,10082713501@GMAIL.COM,BASIR UDDIN,BASIR UDDIN,2007,0,0,NA,NA,2007,2009,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,5,2,1,1,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2432874,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS PASCHIM  NORANGA
"At-Teknigari Laxmipur,Po/Ps-Kodhobari,Block-Dighalbank,District-Kishanganj,Bihar,855101",,hmumsteknigdhi@gmail.com,MD MOAMMIL ALAM,MD MOAMMIL ALAM,2006,0,0,NA,NA,2006,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,6,4,2,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2491101,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS TEKNIGARHI
"WARD NO 22, KISHANGANJ",,deshratna2003@gmail.com,BINOD KUMAR DAS,BINOD KUMAR DAS,2003,0,0,NA,NA,2004,2005,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,4-Hindi,18-Urdu,NA,19,4,18,0,2,2-No,9,NA,0,0,9,2,2-No,131,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,1,1-Yes,2431927,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,DESH RATNA PUBLIC SCHOOL KISHANGANJ
BAHADURGANJ KHODAGANJ ,,,MD MOJIBUR RAHMAN,MD MOJIBUR RAHMAN,1972,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,0,0,0,0,0,9,NA,9,NA,2-No,,,,,,,,2,2,2-No,2436426,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARASA AZHARUL ISLAM SIBGANJ BALUBARI KHARSEL
"At-Haruwadanga,Ward No-07,Panchayat-Dighalbank,Block-Dighalbank,District-Kishanganj,Bihar,855101",,,MD JAMALUDDIN,MD GHULAB RABBANI,1987,0,0,NA,NA,1987,2013,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,152,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2436756,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARSA MUJAHIDUL ISLAM JAMA MASJID HARWADNGA
"At-Lohagara,Panchayat-Lohagara,Block-Dighalbank,District-Kishanganj, Bihar,855101",,umslohagara1965@gmail.com,RAJ KUMAR DAS,RAJ KUMAR DAS,1962,0,0,NA,NA,1962,2012,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,3,1,2,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2456534,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS LOHAGARA
Karuamani thakurganj kishanganj,,umspateshwari@gmail.com,ranjit kumar rajan,RANJIT KUMA RANJAN,1948,0,0,NA,NA,1948,2006,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,1,1-Yes,21,19,1,1,1-Yes,134,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2428128,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS PATESHWARI
VILL-TELEBHITTHA PO-TAIYABPUR PS-POTHIA DIST-KISHANGANJ,,,CHANDAN KUMAR JHA,CHANDAN KUMAR JHA,1969,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,11,2,7,2,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2451709,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S TELI BHITTA
VILL-CHHATTARGACHH PS-PAHARKATTA DIST-KISHANGANJ,perfectengschool.com,perfectengschool5@gmail.com,MD WAHAB ALAM,MD WAHAB ALAM,2009,0,0,NA,NA,2009,2009,,,2,2-No,2,2-No,2,2-Partially Residential,3-Private,3,,19-English,4-Hindi,NA,NA,19,4,0,0,2,2-No,9,NA,0,0,9,1,1-Yes,132,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2451713,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,PERFECT ENGLISH SCHOOL
"DR. KALAM MEMORIAL ACADEMY, TEOSA",www.drkalamtrust.com,dr.kalamtrust.org@gmail.com,SHADAB ANJUM,MD TALIM,2014,0,0,NA,NA,2014,2016,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,NA,NA,NA,19,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,245,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,1,1-Yes,2464205,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,DR. KALAM MEMORIAL ACADEMY
AT-BADTOLA NAJARPUR KOCHADHAMAN,,,Md Manzar Alam,Md Manzar Alam,1985,0,0,NA,NA,1985,1987,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,154,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2453202,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARASA BAHRUL ULOOM BAD TOLA
AT-KAJLAMANI MANSOORA ,,mdshakilmanzar3@gmail.com,Md Shakil Manzer,Md Shakil Manzer,1979,0,0,NA,NA,1979,1979,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,154,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2475725,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARSA MUJFFRUL ISLAM KALANAJIN MANSURA
BAHADURGANJ KUMHAR TOLI ,,umslohiakandar1980@gmail.com,MD AQUIL AKHTER,MD MUNAZIRUL HUSSAIN,1980,0,0,NA,NA,1980,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,18-Urdu,NA,NA,4,18,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2479964,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS LOHIA KANDAR
PATHAMARI THAKURGANJ KIOSHANGANJ,,umspathamari@gmail.com,VISHAM LAL ROY,VISHAM LAL ROY,1957,0,0,NA,NA,1957,2014,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,1,1-Yes,15,20,1,1,1-Yes,232,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2429587,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS.PATHAMARI
AT-TENA PO-TENA KOCHADHAMAN,,,ASGHAR MOBIN,ASGHAR MOBIN,1936,0,0,NA,NA,1936,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2458956,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS TENA
kanakpur thakurganj kishanganj,,pikupublicschool@gmail.com,SUREN RAI,SUREN RAI,2013,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,NA,NA,NA,19,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,132,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2404177,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,PIKU PUBLIC SCHOOL
Barbatta HAT KHATAMATA,,aadilhussain786@gmail.com,Md Aadil Hussain,Md Aadil Hussain,1968,0,0,NA,NA,1968,2013,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,132,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2468868,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,EFADATUL MUSLEMINE BARBATTA
BAHADURGANJ  BHATABARI ,,mcmgulgarululoombhatabari@gmail.com,MD MOQUIM UDDIN,MD MOQUIM UDDIN,1960,0,0,NA,NA,1962,1962,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2456541,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARASA GULZARUL ULOOM BHATABARI
AT-BISHANPUR KOCHADHAMAN,,10082706402@GMAIL.COM,Waseem Akhter,Waseem Akhter,1963,0,0,NA,NA,1963,1987,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,154,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2465437,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARSA MUMBA UL ULUM BISHANPUR
VILL-MADANGANJ PO-MIRZAPUR PS-POTHIA DIST-KISHANGANJ,,umsmadanganjmirzapur3301@gmail.com,BHARAT LAL SINGH ,BHARAT LAL SINGH,1960,0,0,NA,NA,1960,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,17,0,12,5,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2472901,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS   MADAN GANJ MIRJAPUR
BAHADURGANJ  GANGIJHA  ,,,MD RAGIB AHSAN,RAGIH AHSAN,1974,0,0,NA,NA,1974,2012,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,19-English,NA,NA,4,19,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,2,2-No,9,NA,2-No,,,,,,,,2,2,2-No,2487757,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS PATHAR BASTI
VILL-THAIKALBARI PO-PANBARA PS-POTHIA DIST-KISHANGANJ,,umsthaikalbari704@gmail.com,RAIS KUMAR ,RAIS KUMAR,2007,0,0,NA,NA,2007,2014,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,9,7,2,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2408559,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S THAIKALBARI
"At-Kachchunala,Po-Mangura,Ps-Dighalbank,Block-Dighalbank,jDistrict-Kishanganj,Bihar,855101",,alamrashid511@gmail.com,MD RASHID ALAM,MD RASHID ALAM,1995,0,0,NA,NA,1995,1995,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,152,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2403829,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARASA ISLAMIA IZHARUL ULOOM
BAHADURGANJ BHORADAH ,,,ABDUL QUDDUS,ABDUL QUDDUS,1961,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2432404,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA NAJAMUL MUSLAMINBARADANGA
AT-DENGAPAR PO-PATKOI HAT    ,,,NUSRAT BANO,NUSRAT BANO,2013,0,0,NA,NA,2013,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,109,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2457922,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PRABHA DEVI N.P.S DENGAPAR
Madagachhi Rasia Bharat pur thaklurganj kishanganj,,umsmadargachhi123@gmail.com,BABLI KUMARI,BABLI KUMARI,2007,0,0,NA,NA,2007,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,232,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2479226,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS MADARGACHHI
"VILL- SAMADA , KISHANGANJ BIHAR",,,IMAM UDDIN,IMAM UDDIN,2016,0,0,NA,NA,2016,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,4-Hindi,18-Urdu,NA,19,4,18,0,2,2-No,9,NA,0,0,9,2,2-No,131,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,1,1-Yes,2438844,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,ELITE PUBLIC SCHOOL
BAHADURGANJ  THAR KACHPUR ,,,MD ZUBIR ALAM,MD ZUBIR ALAM,1971,0,0,NA,NA,1971,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,19-English,NA,NA,4,19,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2455062,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS THARKACH PUR
BAHARGHAANJ BHATABARI ,,,FAZLUR RAHMAN,FAZLUR RAHMAN,1962,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2456540,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARASA ISLAMIIA ISLAHIA KOTHI TOLA BHATABARI
pathari thakurganj kishanjganj,,pathari@gmail.com,mahendra prasad ganesh,MAHENDRA PRASAD GANESH,1959,0,0,NA,NA,1959,2014,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,2,2-No,253,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2471352,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S.PATHARIA
MADARSA NAJMUL HODA MOTIHARA TALUQUA,,,MD MUSHRAF ALI,MD MUSHRAF ALI,1957,0,0,NA,NA,1962,1962,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,4-Hindi,19-English,NA,18,4,19,0,2,2-No,9,NA,0,0,9,2,2-No,161,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2470258,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,MADARSA NAJMUL HODA MOTIHARA TALUQUA
BAHADURGANJ MAHADEO DIGHI ,,,SHARWAN KUMAR SINGH ,SHARWAN KUMAR SINGH,1954,0,0,NA,NA,1954,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,19-English,NA,NA,4,19,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,0,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2473856,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS MAHADEV DIGHI
VILL- PATILABHASHA DIST-KISHANGANJ,,,Seema Kumari,Seema Kumari,1964,0,0,NA,NA,1964,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,1,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2484467,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,U.M.S PATILA BHASHA
at-thurra po-balanagar ,,,TUFANU LAL SINGH,TUFANU LAL SINGH,2007,0,0,NA,NA,2007,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,6,1,4,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2446164,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS THURRA
"EMMANUEL MISSION SCHOOL, WARD NO-01, KISHANGANJ",,nissi_msociety@yahoo.co.in,BIJAY KUMAR DAS,BIJAY KUMAR DAS,1994,0,0,NA,NA,2010,2010,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,NA,NA,NA,19,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,131,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,1,1-Yes,2420878,9,2022-23,110,2008,KISHANGANJ,20095,KISHANGANJ,EMMANUEL MISSION SCHOOL
AT-NAZARPUR PO-ALTAHAT ,,,mansoor alam,MANSOOR ALAM,1985,0,0,NA,NA,1985,2012,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,143,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2486060,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADARASA JAMIRUL ISLAM NAZARPUR
AT-PANASI DIST-KISHANGANJ,,,MUZAMMIL HUSSAIN,MUZAMMIL HUSSAIN,1973,0,0,NA,NA,,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,1,1-Yes,132,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2420215,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MADARSA NASIRIA ASHRAFIA  PANASI
AT-LODHANA PO-PATKOILA  ,,sarfrazadil2007@gmail.com,SARFRAZ ADIL,SARFRAZ ADIL,1981,0,0,NA,NA,1981,,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,109,10,5,3,2,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2456544,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PRIMARY SHCOOL LODHNA
AT-MOHAMMADPUR KOCHADHAMAN,,10082701401@GMAIL.COM,DULAL KUMAR SINHA,DULAL KUMAR SINHA,1949,0,0,NA,NA,1949,2006,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,1,1-Yes,9,NA,1-Yes,,,,,,,,1,2,2-No,2426417,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MAHAMMADPUR
AT-PATKOI PO-PATKIO HAT ,,,MD EQUEBAL HUSSAIN,MD EQUEBAL HUSSAIN,1957,0,0,NA,NA,1957,2012,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,5,2,1,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2466137,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS PATKOI
pakergachh saraikuri thakurganj kishanganj,,vssumstikoniahat1952@gmail.com,MD JAUS ASGHER,MD JAUS ASGHER,1952,0,0,NA,NA,1952,2014,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,4-Hindi,NA,NA,NA,4,0,0,0,2,2-No,2,2-No,0,0,9,1,1-Yes,132,0,0,0,0,2,2-No,9,NA,1-Yes,,,,,,,,1,2,2-No,2462506,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S.TIKONIA HAT
BAHAADURGANJ BANGAMA BILASI ,,,GHAZALA SHAHEEN,GHAZALA SHAHEEN,2011,0,0,NA,NA,2011,2011,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,19-English,NA,NA,NA,19,0,0,0,2,2-No,9,NA,0,0,9,1,1-Yes,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2406547,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,ENSIGN PUBLIC SCHOOL
"LAXMIPUR TALIB TOLA,WARD NO-03,PANCHAYAT-LAXMIPUR,BLOCK-DIGHALBANK,DISTRICT-KISHANGANJ,BIHAR,855101",,madrasal@gmail.com,MD ARIF,MD ARIF,2017,0,0,NA,NA,2017,2017,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,1,1-Yes,9,NA,0,0,9,1,1-Yes,150,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2495292,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARASA MISBAHUL ULOOM LAXMIPUR TALIB TOLA
BAHADURGANJ  BHAORADAH ,,,MD SAYEED RAZA NOORI,MD SAYEED RAZA NOORI,1962,0,0,NA,NA,1962,1962,,,2,2-No,2,2-No,3,3-Non Residential,NA,0,,18-Urdu,NA,NA,NA,18,0,0,0,2,2-No,9,NA,0,0,9,2,2-No,0,0,0,0,0,9,NA,9,NA,1-Yes,,,,,,,,1,2,2-No,2424882,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSANASIRUL  ISLAM BHAORADAH
